x,y,brightness1,brightness2,locPrec,oligomerID
4948.7,5042.5,69083,17228,0.5534,596
4949,5042.8,67916,16899,0.55827,596
5987,8196.4,76961,39.227,0.58591,403
5988.1,8197,76564,24.64,0.58748,403
5988.1,8196.2,76625,32.967,0.58722,403
5987.5,8196.1,76832,43.728,0.58638,403
5987.8,8197.8,77358,30.622,0.58444,403
5987.3,8197.6,77397,49.649,0.58422,403
6620.6,2997.9,5647.4,31235,0.84658,495
6619.2,2999,5676.9,30845,0.85075,495
6619.2,2998.2,5625,31036,0.84913,495
2785.7,3869.4,6869.2,45408,0.71108,7
2786.7,3869.1,6799.8,44845,0.71542,7
2785.1,3869,7028.3,45036,0.71254,7
2785.4,3869.4,6655.8,45229,0.71377,7
2785.2,3869.4,7039.2,44952,0.71304,7
2785.4,3868.1,6671.7,45337,0.71292,7
2786.5,3868.1,6843.6,45349,0.71166,7
2785.3,3868.5,6632.2,45200,0.71413,7
5466.3,2815.1,26305,1701.4,0.97151,181
5464.9,2816.5,25737,1612.1,0.98311,181
5466,2812.6,26378,1627.7,0.97152,181
5467.8,2813.9,26180,1605.5,0.97536,181
5465.1,2815.3,25900,1643.9,0.97963,181
5466.6,2815.4,26034,1664.6,0.97689,181
5466.5,2815.4,26384,1602.3,0.97186,181
5464.3,2813.5,26385,1652.6,0.97097,181
6354.7,4520.7,53891,19814,0.59886,483
6354.5,4521.2,53787,20130,0.598,483
6355.7,4521.3,53818,20214,0.59754,483
6354.7,4521.7,53496,20005,0.59969,483
6354.7,4521.5,54181,19874,0.59745,483
6354.6,4520.7,54261,19847,0.59723,483
6355.9,4521.3,53482,20018,0.5997,483
6354.8,4521.6,53661,19802,0.59985,483
4737.1,5277.3,26469,553.59,0.98904,80
4736.4,5276.6,26381,519.23,0.99129,80
4735.8,5277,26204,546.26,0.99406,80
4736.3,5275.7,26397,524.79,0.99088,80
4736.5,5276.4,26596,542.38,0.98692,80
4735,5276.6,26663,512.55,0.98626,80
4736,5276.9,26631,505.57,0.98695,80
4736.7,5277.1,26066,531.62,0.9969,80
5891.5,6310.3,69645,8259.4,0.5825,377
5891.5,6309.5,69911,7909.4,0.58281,377
5891.9,6310.9,70369,8208.6,0.58,377
5890.9,6310.6,70484,8107,0.57995,377
5891.2,6310.8,71353,7991.2,0.57719,377
5891.1,6310.1,70122,8279.2,0.58065,377
5891.3,6310.9,70167,8175.8,0.58087,377
2320.1,7158.1,19062,73506,0.53437,254
2319.4,7158.7,18858,73518,0.53493,254
2319.3,7158.1,19053,73897,0.53327,254
2319.9,7158.6,19293,74010,0.53226,254
2318.9,7158.2,19197,73935,0.53276,254
2318.2,7158,18884,74691,0.53149,254
2319.2,7158.3,19058,73988,0.533,254
2318.4,7158.6,18943,73421,0.53497,254
2319.2,7159.2,18667,74783,0.53185,254
2318.4,7158.4,18692,73935,0.5342,254
2318.8,7157.7,19255,73763,0.53308,254
2318.3,7157.9,19058,74210,0.53236,254
2968.5,5445.3,44079,16326,0.66152,237
2967.9,5446.7,44224,16455,0.66002,237
2968.5,5446.9,44133,16290,0.66142,237
2967.7,5444.3,44771,16488,0.65689,237
2967.1,5444.9,43690,16152,0.66462,237
6258.3,3485.9,21595,46940,0.62104,188
6259.3,3484.7,22135,46581,0.62022,188
6258.6,3484.9,21610,46473,0.6231,188
6258.8,3486.9,21323,46975,0.62212,188
4506.8,6627.6,62914,8087.1,0.61016,180
4506.3,6628.6,62947,8160.9,0.6097,180
4506.3,6628.4,62803,7991.7,0.61105,180
4505.8,6628.4,62506,8045.8,0.6121,180
4506.9,6627.9,62921,7932.1,0.6108,180
4506.6,6628.5,63402,7995.9,0.60846,180
4505.9,6628,62697,7911,0.61186,180
4505.5,6628.9,62753,8078.1,0.61089,180
4506.5,6629.1,62679,8309.3,0.61021,180
4506,6628,62699,8244.2,0.61041,180
4506.2,6628,62961,8150.2,0.60969,180
4505.2,6627.6,62156,7960.2,0.614,180
4507.6,6629.8,62293,7822.4,0.614,180
4506.8,6629.1,62847,7874,0.61137,180
4505.6,6629.1,62487,7782.5,0.61333,180
4506,6627.7,62434,8131.2,0.61204,180
4506.5,6629.3,62427,8114.1,0.61214,180
4506.7,6629.1,62729,7779.9,0.61228,180
4290.1,1550.5,80032,4744.1,0.55839,930
4291,1549.7,80195,4662.3,0.55812,930
4290.3,1551.4,79526,4752.6,0.56004,930
5798.6,1012.1,77362,4493.7,0.56827,138
5798.3,1012.2,78001,4614.2,0.56565,138
5797.8,1012.9,78056,4771.6,0.56492,138
8033.5,7628.9,24807,73150,0.51947,324
8033.8,7628.7,24861,73527,0.51833,324
8034.3,7628.8,25318,73325,0.51766,324
1256.7,3928.6,91237,53.075,0.5381,869
1256.6,3929.1,90566,53.791,0.54009,869
1257,3929.1,90542,57.146,0.54015,869
1256.7,3928.4,91767,72.241,0.53649,869
1256.3,3928.7,91720,50.112,0.53669,869
1256,3928.3,91812,66.646,0.53638,869
1256.5,3928.8,90880,60.733,0.53913,869
1256,3928.1,91056,59.369,0.53862,869
1255.6,3929.2,90544,46.278,0.54018,869
1256,3928.5,91646,56.828,0.53689,869
4254.8,1906.1,96812,3041.7,0.51451,397
4255.8,1905.2,97282,2983.3,0.51345,397
7449,7109.9,1.164,13051,1.4231,183
7449.9,7108.9,14.52,12806,1.4359,183
7450.3,7108.7,1.728,12832,1.4352,183
7453.2,7110,11.741,12931,1.4291,183
7450.1,7109.9,7.6855,12846,1.4341,183
2366.6,6799.5,6106.1,57689,0.6437,487
2366.7,6799.7,6011.2,57127,0.64704,487
2366.3,6800.1,5946.4,56619,0.64999,487
2367.2,6800.2,6073.3,56506,0.64992,487
