x,y,brightness1,brightness2,locPrec,oligomerID
4707.1,3614.4,185.37,8085.6,1.7877,213
4708.7,3612.9,165.49,7926.7,1.8074,213
4709.1,3614.1,139.47,8112.8,1.7897,213
4704.6,3616.3,186.95,8379,1.7567,213
7426.2,359.78,1509.3,8549.4,1.6211,928
7426.3,362.5,1612.8,8617.5,1.6074,928
7427.5,363.02,1529.1,8552,1.6193,928
7427.4,358.8,1486.1,8390.3,1.636,928
7423.9,363.62,1579.5,8454.1,1.6231,928
7425.6,358.14,1558.2,8399.8,1.6293,928
7428.5,358.95,1498.9,8304.6,1.6421,928
7430.4,359.02,1497.8,8676.8,1.6118,928
7426.6,360.1,1572.2,8580.8,1.6135,928
7426.7,358.91,1550.1,8377.2,1.6318,928
7422.5,360.94,1543,8445.1,1.6268,928
7427.7,362.81,1429.1,8786.9,1.6086,928
7429.2,360.02,1475.6,8568.8,1.6222,928
7425.7,362.83,1469.4,8334.7,1.642,928
2728.8,7624,1981.9,2343.5,2.4721,859
2726.8,7626.3,1903,2475.2,2.4571,859
2725.5,7624.6,1971.3,2325.9,2.4802,859
2731.5,7625.3,1929.5,2474.1,2.45,859
2724.7,7625.9,1961.1,2418.5,2.4567,859
2729.9,7622.9,2055.1,2451.8,2.4218,859
2725,7624.5,2040.8,2435.8,2.43,859
2725,7624.7,1908,2366.2,2.4868,859
2727.1,7624.3,1963.9,2272.4,2.498,859
1835.7,9279.1,7729.1,2231.4,1.6291,149
1839.3,9280.1,7538.7,2259.1,1.6425,149
1837.8,9276.2,7733.6,2279.9,1.6247,149
1837.4,9279,7497.3,2241.5,1.6475,149
9052.8,256.64,4004.4,4162.2,1.7991,285
9050.7,255.35,4166,4085.8,1.7898,285
9048.3,257.33,4009.8,4178.3,1.7967,285
9047.7,258.8,4175.2,4176.1,1.7791,285
9048.2,256.18,3911.3,4004.8,1.8273,285
9050.9,257.33,3971.4,4252.1,1.7929,285
9049.8,256,4057.7,4224,1.7866,285
9049.6,257.72,4221.2,4069.2,1.7856,285
8621.5,1758.6,4200.3,2953.2,1.9223,579
8623.9,1758.5,4071.2,2927.1,1.9435,579
8623.1,1761.3,4148.3,2941.3,1.9309,579
8621.4,1755.9,3985.4,2972.8,1.9491,579
8623.6,1759.4,3939.2,2921.4,1.9629,579
8626.2,1756,4091.9,3025.2,1.9272,579
4669.9,9110.1,308.62,5941,2.0566,697
4664.4,9108,304.7,5833.7,2.0751,697
8175.3,3658.1,7667,408.55,1.8092,199
8174.6,3659.3,7719.9,421.61,1.8019,199
8173,3656.1,7558.5,407.66,1.8216,199
8175.5,3659,7693.9,445.25,1.8021,199
8175.8,3658.8,7844.6,452.87,1.7849,199
8002,7719.6,9004,1065.9,1.6202,130
7999.2,7722.1,8746.8,1141.7,1.635,130
2726.9,7620.4,1891.7,7357.3,1.6906,859
2728.7,7619,2001,7331.8,1.6829,859
2726,7618.3,2082.9,7055.4,1.7008,859
2729.9,7618.7,1970.2,7154.1,1.7021,859
2728.2,7619.9,1878,7253.5,1.7014,859
2725.4,7619.1,2057.8,7111,1.6979,859
2725.9,7619.1,1924.7,7266.8,1.6958,859
2723.2,7619.4,1942,7302.9,1.6909,859
2730,7617.4,1970.7,7286.8,1.6898,859
968.88,7566.6,494.75,9510.6,1.6254,306
970.67,7564.6,494.08,9356.2,1.6381,306
971.62,7569.7,513.96,9502.8,1.6245,306
970.42,7568.7,573.3,9429.6,1.6256,306
972.24,7571.1,553.68,9195.5,1.6466,306
969.76,7567.6,517.98,9497.1,1.6246,306
971.66,7570.2,546.14,9510.6,1.6212,306
969.76,7565.5,522.46,9166.6,1.6517,306
967.7,7569.8,498.9,9420.9,1.6324,306
968.7,7565.7,589.88,9701.9,1.6026,306
971.29,7569.2,558.52,9430.5,1.6267,306
969.22,7564.8,538.75,9316.8,1.6377,306
968.89,7568.2,503.75,9554.2,1.6211,306
971.44,7567.6,544.01,9096.9,1.6558,306
967.95,7566.5,482.62,9286.5,1.6449,306
967.5,7568.7,570.16,9604.9,1.6118,306
969.81,7568.6,559.9,9267.5,1.64,306
970.61,7566.8,517.29,9237.9,1.6461,306
968.54,7568.8,491.7,9331.9,1.6404,306
966.13,7567.4,514.82,9485.1,1.6258,306
968.86,7569.7,554.88,9276.7,1.6397,306
970.51,7566.4,586.37,9465.8,1.6216,306
3957.5,5614.8,4725.2,0.64306,2.365,258
3952.9,5607.8,4703.5,5.1179,2.3694,258
3957.2,5611.2,4511.5,0.66581,2.4204,258
3955.8,5611.1,4710.4,1.0832,2.3686,258
3956.8,5610.1,4669,3.2603,2.3786,258
3958.5,5609.3,4696.9,4.3197,2.3712,258
3957.1,5609.5,4778.7,1.8931,2.3515,258
5164.5,8107.7,1429.8,7153.4,1.7549,954
5163.8,8106,1605.1,7351.4,1.7179,954
5168.6,8106.4,1606.9,7360.8,1.7169,954
5163.3,8105.4,1592.3,7013.7,1.7526,954
5163.7,8105.6,1551.7,7255.6,1.7324,954
5164.5,8104.9,1554.2,7355.7,1.7224,954
5164.8,8104,1485.6,7303.4,1.7342,954
5165.4,8104.2,1504,7350.7,1.7278,954
5167.9,8109,1545.8,7348.5,1.7239,954
8741,910.01,4850,1021.6,2.1218,664
8743.6,908.44,4719.3,932.9,2.1625,664
8737.3,903.03,4805.3,890.64,2.1542,664
8742.3,906.79,4808.9,984.81,2.136,664
8741,905.51,4843.8,944.76,2.1369,664
8741,910.22,4805.5,832.34,2.1653,664
7962.7,1385.8,6661,909.42,1.8686,264
7962.7,1384.7,6577.4,1098.4,1.8557,264
7962.5,1383.4,6474.8,1103.8,1.8676,264
7965.1,1387.7,6709.3,1024.5,1.8488,264
8496.7,872.39,5936.4,2515.9,1.7684,23
8496.5,870.4,5985.2,2527.2,1.7622,23
8493.8,871.25,6127.3,2725.3,1.728,23
8495.7,874.79,5873.4,2593.6,1.7669,23
8491.5,874.89,6078.2,2475.9,1.7579,23
8493.3,875.99,6005.5,2602.4,1.7524,23
8493.8,874.31,5878.4,2532.8,1.7727,23
8493,872.18,5859.3,2574.5,1.7704,23
5615.8,6570,6654.8,3340.4,1.6262,362
5615,6572.3,6498.2,3230.5,1.6483,362
5614.4,6574.7,6658.1,3171.2,1.6399,362
5615.6,6573.3,6668.7,3135.2,1.642,362
5616.4,6574,6375.3,3262.4,1.6561,362
8707.9,8315.4,1455,7179,1.7497,915
8709.9,8314.8,1444.7,7109.7,1.7578,915
8708.6,8314.8,1397.4,7161.6,1.7574,915
8713.4,8315.2,1461.9,7325.8,1.7344,915
8710.3,8316.2,1522.6,7180.7,1.7427,915
4953,5043.4,7035.6,1655.3,1.744,596
4948.2,5039.6,7089.1,1796.7,1.7248,596
4947.5,5043,6785.6,1755.6,1.7592,596
5988.5,8197.7,7677.7,2.2931,1.8552,403
5990.5,8195.1,7630.8,4.0099,1.8607,403
5984.2,8194.8,7625.7,7.9312,1.8608,403
5985.7,8198.2,7668.2,1.9191,1.8564,403
5989.4,8195.8,7767.4,4.5568,1.8442,403
5990.6,8195.2,7773.4,3.2464,1.8437,403
6620.9,2995.1,562.35,3093.1,2.6891,495
6620.4,2996.7,555.69,3188.8,2.6569,495
6617.5,2999.4,564.48,3137.9,2.672,495
2784.6,3868,675.63,4379.2,2.2868,7
2781.6,3869.9,733.18,4415,2.2659,7
2786.5,3871,667,4425.1,2.2784,7
2785.9,3870.5,648.29,4443.4,2.2785,7
2782,3865.1,688.12,4464.2,2.265,7
2790.4,3871.4,672.46,4552.2,2.2493,7
2786.4,3867.9,699.79,4438,2.2682,7
2785.1,3869.8,677.19,4504.5,2.2586,7
5468.1,2817.3,2739.8,136.85,3.0313,181
5459.7,2820.5,2536.6,151.21,3.136,181
5465,2817.7,2736.3,157.36,3.0224,181
5463.4,2816.6,2596.3,139.64,3.1083,181
5464.7,2812.9,2549.7,155.63,3.1258,181
5467.1,2810.3,2541.2,174.17,3.1201,181
5465.4,2814.5,2573.2,155.87,3.1122,181
5468.6,2816.1,2538.2,123.48,3.1514,181
6355.7,4521.3,5293.9,1937.3,1.9119,483
6354.9,4522,5307.3,2010.2,1.9006,483
6355.6,4521.6,5274.2,2009.8,1.905,483
6353.9,4522.2,5401.6,2037.3,1.885,483
6354.1,4523.9,5540.8,1994.3,1.873,483
6353.9,4520.3,5313.1,1942.2,1.9088,483
6353.3,4519,5352.6,2121.9,1.8805,483
6352,4521.4,5489.6,2044.8,1.8731,483
4738.7,5280.4,2802.7,64.963,3.0361,80
4736.3,5283.5,2634,39.283,3.1445,80
4736,5277.3,2614.4,46.226,3.152,80
4737,5281,2704.6,44.708,3.1007,80
4733.7,5272.7,2643.2,54.74,3.1301,80
4733.3,5275.1,2641.2,67.428,3.1239,80
4737.3,5270.7,2725,58.944,3.0814,80
4742.6,5282.1,2718.5,46.754,3.0918,80
5891.9,6310.5,6784.8,827.44,1.8635,377
5891.8,6311,6848.6,857.32,1.8521,377
5890.5,6309.3,7015.1,885.67,1.8291,377
5890.2,6310.9,6968.6,761.64,1.8492,377
5889.9,6311.8,7209.7,807.6,1.8158,377
5893,6309.4,7031,810.97,1.836,377
5890.6,6311.4,7103.2,754.93,1.8341,377
2317.9,7156.9,1838.4,7371.1,1.6942,254
2319.2,7158.4,2049.6,7179,1.6924,254
2318,7159.8,1970.2,7305.2,1.6881,254
2317.6,7156.4,1832.2,7550.4,1.6785,254
2320.7,7162.1,1924.7,7391,1.6845,254
2319,7158.8,1797,7470,1.6889,254
2321.5,7159.4,1919.5,7436.2,1.6809,254
2320.7,7158.4,1855,7263.8,1.7026,254
2319.2,7156.8,1895.5,7320.9,1.6935,254
2318.3,7159.4,1873.2,7344.2,1.6934,254
2319.7,7158.7,1939.5,7310.7,1.6904,254
2317.4,7159.1,1897.8,7726.9,1.6572,254
2967.4,5448,4351.2,1645.9,2.0994,237
2970,5447.5,4418.4,1569.2,2.1011,237
2967.1,5443.5,4447.1,1662.4,2.08,237
2969.3,5446.5,4436.9,1646,2.0846,237
2972.6,5449.9,4242.8,1738.9,2.1021,237
6257.6,3485.2,2120.2,4774,1.9581,188
6263,3485.7,2179.8,4486.5,1.9913,188
6262.5,3484.8,2110.8,4782.2,1.9583,188
6258.8,3487.7,2197.8,4808.2,1.9424,188
4509.6,6629.4,6381.7,797.28,1.9189,180
4509.4,6628.5,6185.6,811.04,1.9437,180
4507.9,6630.9,6392.3,796.36,1.9176,180
4503.6,6629.2,6168,819.97,1.9449,180
4508.1,6625.3,6330.2,808.58,1.9243,180
4507.1,6627.4,6439,781.75,1.9133,180
4505.5,6625.1,6392.8,769.57,1.9211,180
4507,6625.8,6174.2,765.13,1.9517,180
4507,6628.3,6389.3,817.92,1.9151,180
4504.3,6625.6,6368,768.33,1.9246,180
4508.7,6624.8,6186.4,814.23,1.9431,180
4505.8,6628,6256.2,869.82,1.926,180
4504.9,6625.8,6317.4,898.25,1.914,180
4509.4,6629.6,6403.6,761.34,1.9207,180
4508.3,6628.3,6119.6,818.03,1.952,180
4505.7,6629.3,6255.3,822.94,1.9325,180
4508.5,6627.2,6223.5,812.17,1.9383,180
4507.3,6627.3,6392.7,761.88,1.9221,180
4291.1,1550,8063,488.53,1.7581,930
4291.6,1549.8,8005.2,446.62,1.7685,930
4289.9,1551,8090.4,479.72,1.7562,930
5798.7,1011.8,7727.7,442.4,1.7987,138
5797.2,1011.1,7664.2,429.74,1.8072,138
5797.3,1010.7,7768,411.5,1.7977,138
8032,7628.4,2490.7,7453.5,1.6304,324
8036.8,7630.3,2448.6,7302.9,1.6464,324
8035.4,7627.2,2460.4,7488.5,1.63,324
1255.1,3927.5,9284.5,3.1347,1.687,869
1256.2,3928.4,9153.8,5.8387,1.6988,869
1256.7,3928.5,8989.3,2.5987,1.7146,869
1254.9,3928.2,9140.7,3.1355,1.7002,869
1255.5,3928.6,9262.1,0.76836,1.6893,869
1259.2,3925.6,9044,5.5492,1.7091,869
1257.3,3927.6,9114.5,6.8712,1.7023,869
